# proton+antiproton -> gamma* -> electron+positron 
# E=[2:5] [GeV] , Q=[1:E] [GeV] , sigma [nbarn * GeV-2] 
# N_E=100 , N_Q = 100 , Num. of Rows = N_E*N_Q  
     100     100
2.247200E+000 1.037400E+000 1.051726E-001 
2.247200E+000 1.049900E+000 8.948620E-002 
2.247200E+000 1.062400E+000 7.607220E-002 
2.247200E+000 1.074800E+000 6.460760E-002 
2.247200E+000 1.087300E+000 5.481880E-002 
2.247200E+000 1.099800E+000 4.646260E-002 
2.247200E+000 1.112200E+000 3.933760E-002 
2.247200E+000 1.124700E+000 3.326482E-002 
2.247200E+000 1.137200E+000 2.809416E-002 
2.247200E+000 1.149700E+000 2.369604E-002 
2.247200E+000 1.162100E+000 1.995912E-002 
2.247200E+000 1.174600E+000 1.678764E-002 
2.247200E+000 1.187100E+000 1.409952E-002 
2.247200E+000 1.199600E+000 1.182408E-002 
2.247200E+000 1.212000E+000 9.900140E-003 
2.247200E+000 1.224500E+000 8.276020E-003 
2.247200E+000 1.237000E+000 6.907260E-003 
2.247200E+000 1.249400E+000 5.755100E-003 
2.247200E+000 1.261900E+000 4.786860E-003 
2.247200E+000 1.274400E+000 3.974800E-003 
2.247200E+000 1.286900E+000 3.294828E-003 
2.247200E+000 1.299300E+000 2.726348E-003 
2.247200E+000 1.311800E+000 2.251880E-003 
2.247200E+000 1.324300E+000 1.856604E-003 
2.247200E+000 1.336700E+000 1.527866E-003 
2.247200E+000 1.349200E+000 1.254988E-003 
2.247200E+000 1.361700E+000 1.028660E-003 
2.247200E+000 1.374200E+000 8.414340E-004 
2.247200E+000 1.386600E+000 6.869640E-004 
2.247200E+000 1.399100E+000 5.597780E-004 
2.247200E+000 1.411600E+000 4.552780E-004 
