     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle
0.883471	0.917505	21.3998 	0.991483	21.6218 	3	1	46.0827
1.21433 	0.557834	22.23   	0.996467	22.3491 	2	1	24.673
1.13557 	0.489781	23.281  	0.996771	23.3893 	2	0	23.331
1.11062 	0.417693	23.9223 	0.99694 	24.0252 	2	0	20.6108
0.771224	-0.053981	24.8397 	0.997157	24.9226 	2	0	-4.00383
0.768358	0.386773	25.8881 	0.997382	25.9704 	2	0	26.7196
-0.261033	-0.422496	26.3821 	0.997477	26.4535 	2	0	58.2908
0.043564	-0.473075	27.3752 	0.997656	27.4437 	2	0	-84.7387
0.176086	-1.29118	28.8634 	0.997894	28.9538 	2	0	-82.2342
-0.185326	-1.46556	29.5292 	0.997989	29.6257 	2	0	82.793
-0.319924	-1.66656	29.7827 	0.998024	29.8901 	2	0	79.1334
-0.784257	-1.35385	30.5068 	0.998115	30.6045 	2	0	59.9173
-1.33161	-1.14269	30.9114 	0.998169	31.0179 	2	2	40.6339
-1.29464	-1.19507	30.9982 	0.998176	31.105  	2	0	42.7098
-1.82516	-1.46555	31.6001 	0.998248	31.7422 	2	0	38.7635
-2.08536	-1.46468	33.374  	0.998431	33.5237 	2	1	35.0829
-1.82208	-1.79376	34.0308 	0.998489	34.1784 	2	0	44.5513
-2.20295	-1.75628	35.5187 	0.998617	35.6796 	2	2	38.5633
-2.07313	-1.50534	37.1785 	0.998735	37.3138 	2	2	35.9842
-1.92748	-2.34781	39.1685 	0.998859	39.331  	2	0	50.6152
-2.00247	-2.36732	40.5689 	0.998938	40.7305 	2	1	49.7728
-1.79416	-2.20475	42.1805 	0.999015	42.3179 	2	0	50.8624
-1.74346	-2.47959	44.3405 	0.999108	44.4836 	2	0	54.888
-1.76863	-2.61486	45.7354 	0.999162	45.8827 	2	0	55.9266
-1.54138	-3.33932	47.8429 	0.999235	48.0208 	2	0	65.2228
-1.40843	-3.53078	49.2199 	0.999277	49.4022 	2	0	68.253
-1.60902	-3.46883	50.8006 	0.999321	50.9789 	2	0	65.1158
